Artículo,Fuente Suministro,Inventario,Backorder,Importancia RFM,Alerta,Monto USD,Última Compra,Compras Recomendadas,Recomendacion USD
dt-064,aisin - japon,284.0,0.0,3,verde,27.83,200.0,50,1391.5
icd1210,ishikawa - pastillas de freno,72.0,0.0,2,verde,5.25,200.0,50,262.5
a-1164,sakura filter,191.0,0.0,0,verde,2.37,200.0,50,118.5
wk-11001x,mann - brasil,0.0,0.0,2,rojo,19.819372490644454,102.0,200,3963.874498128891
fc-1009,sakura filter,259.0,0.0,2,verde,3.26,450.0,150,488.99999999999994
48702,narva,8008.0,0.0,3,verde,1.452585850954056,6000.0,7400,10749.135297060013
wc-5705,sakura filter,342.0,0.0,2,verde,3.25,300.0,300,975.0
a-5668-s,sakura filter,269.0,0.0,2,verde,19.28,100.0,50,964.0
ef-26070,sakura filter,0.0,0.0,3,rojo,4.32,150.0,150,648.0
mz005,ito koyama - resortes,1.0,0.0,0,rojo,7.7,56.0,50,385.0
a-7633-s,sakura filter,57.0,0.0,0,verde,17.2,60.0,50,860.0
fc-7928,sakura filter,280.0,0.0,0,verde,3.06,204.0,50,153.0
a-1864,sakura filter,555.0,0.0,3,verde,2.5,297.0,350,875.0
ge001,ito koyama - resortes,0.0,0.0,0,rojo,7.35,52.0,50,367.5
17632,narva,2410.0,0.0,3,verde,0.7207487046718598,1000.0,1500,1081.1230570077896
h-5902,sakura filter,136.0,0.0,0,verde,4.15,200.0,150,622.5
t1083,ito koyama - trapecios,101.0,0.0,3,verde,21.74,100.0,50,1087.0
c-6214,sakura filter,292.0,0.0,3,verde,1.88,200.0,650,1222.0
bhy005,ito koyama - bocamazas,0.0,0.0,0,rojo,16.94,204.0,50,847.0000000000001
hu-12140x,mann - brasil,34.0,0.0,3,amarillo,11.77,102.0,100,1177.0
c-5106,sakura filter,16.0,0.0,3,rojo,3.64,575.0,300,1092.0
a-2839,sakura filter,155.0,0.0,0,verde,1.7,100.0,150,255.0
c-1404,sakura filter,313.0,0.0,1,verde,1.3,300.0,200,260.0
17181,narva,45980.0,0.0,3,verde,0.18850350737571717,15000.0,57600,10857.802024841309
48004,narva,217.0,0.0,1,verde,2.1052631616592405,300.0,200,421.0526323318481
a-2935,sakura filter,139.0,0.0,3,amarillo,3.6,144.0,350,1260.0
a-65800,sakura filter,336.0,0.0,0,verde,2.33,180.0,150,349.5
a-28550,sakura filter,212.0,0.0,3,verde,2.13,200.0,900,1917.0
331702,ito koyama - amortiguadores,21.0,0.0,0,amarillo,16.0,53.0,50,800.0
icd1498,ishikawa - pastillas de freno,14.0,0.0,0,amarillo,4.56,150.0,50,227.99999999999997
c-2804,sakura filter,121.0,0.0,1,amarillo,1.07,150.0,450,481.5
a-7103-s,sakura filter,12.0,0.0,0,amarillo,31.84,28.0,50,1592.0
op-010,ito koyama - palieres,0.0,0.0,3,rojo,5.7,100.0,450,2565.0
c-1138,sakura filter,0.0,0.0,0,rojo,1.62,100.0,100,162.0
wk-962/13,mann - brasil,0.0,0.0,3,rojo,12.38,102.0,150,1857.0000000000002
adex3h,novaquimica - peru,62.0,0.0,3,verde,36.63,60.0,50,1831.5000000000002
t005,ito koyama - resortes,0.0,0.0,3,rojo,3.9,200.0,600,2340.0
k004,ito koyama - resortes,0.0,0.0,3,rojo,3.78,280.0,400,1512.0
bdd009,ishikawa - discos de freno,8.0,0.0,0,amarillo,13.55,50.0,50,677.5
a-28530,sakura filter,1185.0,0.0,3,verde,3.22,200.0,550,1771.0
a-1833,sakura filter,336.0,0.0,2,amarillo,1.7,300.0,300,510.0
48728,narva,13670.0,0.0,3,verde,3.2932671582698823,16000.0,15350,50551.65087944269
sk16fa-e,plumillas - sakura,144.0,0.0,0,verde,1.29,300.0,350,451.5
c-5717,sakura filter,116.0,0.0,0,verde,3.98,42.0,50,199.0
54651-f2000,ito koyama - amortiguadores,0.0,0.0,2,rojo,11.1,78.0,100,1110.0
96586885,ito koyama - amortiguadores,0.0,0.0,3,rojo,10.7,60.0,200,2140.0
54660-4h600,ito koyama - amortiguadores,195.0,0.0,3,verde,11.7,200.0,200,2340.0
18044,narva,520.0,0.0,0,verde,16.431771507263182,408.0,150,2464.765726089477
17314,narva,150.0,0.0,1,amarillo,0.15523818254470825,200.0,100,15.523818254470825
17945,narva,1380.0,0.0,3,amarillo,0.6402604460716247,1000.0,1550,992.4036914110183
w-1170/7,mann - brasil,294.0,0.0,3,verde,12.058664560317993,320.0,250,3014.6661400794983
a-8602-s,sakura filter,141.0,0.0,3,rojo,4.92,75.0,1500,7380.0
icd1454,ishikawa - pastillas de freno,121.0,0.0,0,verde,5.45,200.0,50,272.5
a-33960,sakura filter,134.0,0.0,0,verde,2.37,60.0,50,118.5
eo-29060,sakura filter,288.0,0.0,0,verde,1.61,300.0,250,402.5
t013,ito koyama - resortes,379.0,0.0,3,amarillo,3.95,504.0,650,2567.5
a-2847,sakura filter,56.0,0.0,0,verde,2.02,40.0,150,303.0
a-5628-s,sakura filter,260.0,0.0,0,verde,6.71,260.0,50,335.5
mi-5005,ito koyama - palieres,50.0,0.0,0,verde,7.4,100.0,50,370.0
a-33411,sakura filter,871.0,0.0,3,verde,2.4,440.0,1450,3480.0
b10300100,valvoline,727.0,0.0,3,verde,12.99,1200.0,1350,17536.5
a-28930,sakura filter,28.0,0.0,0,amarillo,3.17,60.0,50,158.5
dtx-202,aisin - japon,8.0,0.0,2,amarillo,48.22,50.0,50,2411.0
a-5904,sakura filter,248.0,0.0,2,verde,4.19,64.0,50,209.50000000000003
54302-5m400,ito koyama - amortiguadores,0.0,0.0,3,rojo,9.9,102.0,50,495.0
341198,ito koyama - amortiguadores,56.0,0.0,0,verde,7.23,96.0,50,361.5
dt235/65r16c,deestone,90.0,0.0,2,verde,45.58,658.0,150,6837.0
c-6105,sakura filter,116.0,0.0,0,verde,6.83,180.0,150,1024.5
54660-2k000,ito koyama - amortiguadores,30.0,0.0,0,amarillo,10.5,52.0,50,525.0
dttmlt265/65r17,deestone,285.0,0.0,3,verde,74.5,132.0,700,52150.0
ni-545,ito koyama - palieres,14.0,0.0,0,amarillo,8.72,50.0,50,436.00000000000006
a-1840-s,sakura filter,48.0,0.0,3,amarillo,25.45,50.0,100,2545.0
bmi001,ito koyama - bocamazas,0.0,0.0,2,rojo,17.07,200.0,200,3414.0
ki-003,ito koyama - palieres,0.0,0.0,2,rojo,5.9,100.0,100,590.0
5466007100,ito koyama - amortiguadores,91.0,0.0,2,amarillo,11.1,60.0,150,1665.0
cf-500/1,mann - brasil,52.0,0.0,3,amarillo,10.48,100.0,100,1048.0
a-57270-s,sakura filter,209.0,0.0,3,verde,34.71,26.0,350,12148.5
tni010,ito koyama - direccion,6.0,0.0,0,rojo,3.56,120.0,100,356.0
t1062,ito koyama - trapecios,30.0,0.0,0,verde,11.3,20.0,50,565.0
cg003,ito koyama - resortes,90.0,0.0,0,verde,4.7,56.0,50,235.0
hy031,ito koyama - resortes,0.0,0.0,3,rojo,6.1,160.0,150,915.0
ca-18140,sakura filter,101.0,0.0,0,verde,1.44,60.0,150,216.0
ca-18250,sakura filter,1774.0,0.0,2,verde,0.9,600.0,150,135.0
54651-2s000,ito koyama - amortiguadores,12.0,0.0,3,rojo,12.32,80.0,100,1232.0
w16ex-u11,denso - bujias - japon,114.0,0.0,1,rojo,0.85,1152.0,400,340.0
m25600100,valvoline,280.0,0.0,3,verde,11.14,240.0,150,1671.0
t1085,ito koyama - trapecios,150.0,0.0,3,verde,23.8,108.0,150,3570.0
a-1045,sakura filter,52.0,0.0,0,verde,2.26,60.0,50,112.99999999999999
eo-19030,sakura filter,13.0,0.0,0,amarillo,1.62,50.0,50,81.0
