Fecha,Artículo,Fuente Suministro,Inventario,Compras Recomendadas,Demanda Mensual,Meses proteccion,Alerta,Lead Time,Margen,Ultima fecha,Monto USD,Última Compra,Recomendacion USD,Importancia RFM,Backorder,holgura,quebro,va_a_quebrar,consumiendo_proteccion
2025-01-01,hy023,ito koyama - resortes,0.0,100,10.695944096727033,2.1202715375218513,rojo,6,0.8588707792517757,2024-01-22,5.36,304.0,536.0,3,,0.0,1,0,1
2024-12-01,cac-26080,sakura filter,121.0,50,4.022233137322858,3.049146100154824,verde,6,0.9620130442821785,2023-10-25,4.14,40.0,206.99999999999997,0,,30.08279129253455,0,0,0
2025-01-01,eo-25040,sakura filter,190.0,150,18.553942362467446,0.4746464679601804,verde,6,0.8206576084579592,2024-09-17,2.99,50.0,448.50000000000006,0,,10.240411244585344,0,0,0
2025-01-01,c-7603,sakura filter,0.0,100,8.58860464165636,1.530524671427625,rojo,6,0.8719512921607786,2024-10-22,2.6,120.0,260.0,0,,0.0,1,0,1
2024-12-01,srni004,ito koyama - cremalleras,14.0,50,1.046362445445955,0.823812729980958,verde,6,0.4107694740731714,2024-09-13,70.0,10.0,3500.0,1,,13.379685080376964,0,0,0
2024-07-01,fc-7918,sakura filter,80.0,100,14.166666666666666,0.6013824903120968,verde,6,0.6161182190976715,2024-02-28,2.27,125.0,227.0,0,,5.647058823529412,0,0,0
2024-10-01,48772,narva,0.0,350,78.00863647460938,0.4666171533344058,rojo,4,0.5132132634680632,2024-05-29,5.653825294971466,200.0,1978.8388532400131,1,,0.0,1,0,1
2024-12-01,bmz001,ito koyama - bocamazas,0.0,50,4.7302469742268975,0.4354672938378741,rojo,6,0.6139806138232061,2023-04-13,16.51,30.0,825.5000000000001,0,,0.0,1,0,1
2024-12-01,t1210,ito koyama - trapecios,31.0,50,1.8608328743350349,0.774367251723672,verde,6,0.5705220225172162,2024-06-11,27.54,40.0,1377.0,0,,16.6592069753055,0,0,0
2024-12-01,dtx-188,aisin - japon,174.0,150,23.25536975298715,0.3551727858974001,verde,6,0.5032049112466739,2024-10-07,35.48,100.0,5321.999999999999,1,,7.482142913580194,0,0,0
2024-03-01,87562620,ks - alemania,0.0,50,10.666327799283964,0.23593982163125762,rojo,4,0.34641679729349645,2023-02-06,27.451952533721926,20.0,1372.5976266860962,0,,0.0,1,0,1
2024-10-01,ctx-078,aisin - japon,0.0,50,7.175543480920026,0.2835222086473608,rojo,6,0.38900654675785823,2024-05-20,54.34,10.0,2717.0,0,,0.0,1,0,1
2023-06-01,sm010,ito koyama - torretas,0.0,100,11.840932409457771,0.35719533737378945,rojo,6,0.6322230101055486,2022-08-15,4.83,100.0,483.0,0,,0.0,1,0,1
2024-12-01,sk26fa-e,plumillas - sakura,339.0,100,10.911947988096905,1.3061535919537752,verde,6,0.9182387360254182,2024-02-28,1.48,200.0,148.0,0,,31.066863622314898,0,0,0
2024-12-01,a-1068,sakura filter,39.0,100,8.60550626118978,1.0476332652286924,verde,6,1.0054033846097463,2024-04-18,3.56,60.0,356.0,1,,4.531982060821596,0,0,0
2024-12-01,a-5101,sakura filter,278.0,500,77.24001318286372,0.4434653113248958,verde,6,1.0036419976833575,2024-09-30,1.84,300.0,920.0,2,,3.5991707994901843,0,0,0
2024-12-01,48072,narva,3466.0,9900,2472.6201559510914,0.26076393319108065,verde,4,0.5578579268069251,2024-09-16,3.215648066997528,2000.0,31834.915863275524,2,,1.401751899359894,0,0,0
2024-12-01,ho-013,ito koyama - palieres,0.0,50,6.096158530231423,0.3303459031802189,rojo,6,0.5844177435369075,2024-10-24,6.9,50.0,345.0,0,,0.0,1,0,1
2024-12-01,wk-1060,mann - brasil,310.0,650,159.92578125,0.21071027418393157,verde,4,0.36437016703563196,2024-09-12,11.92,504.0,7748.0,2,,1.9383991597664934,0,0,0
2024-12-01,a-31060,sakura filter,44.0,50,3.491836983732508,0.5586696422374311,verde,6,0.7419597966230873,2021-08-26,3.8,40.0,190.0,0,,12.600817336257018,0,0,0
2024-11-01,n009,ito koyama - resortes,384.0,350,57.70879088644318,1.0535100761025273,verde,6,0.7742712671417258,2024-01-22,4.41,688.0,1543.5,2,,6.654098866074292,0,0,0
2024-11-01,sfc-79410-30s,sakura filter,0.0,350,56.51140697076534,0.32335695426401906,rojo,6,0.7724815684613238,2024-09-17,14.94,36.0,5229.0,2,,0.0,1,0,1
2024-12-01,sfc-5711,sakura filter,62.0,150,19.635190893646868,0.5344846259859772,verde,6,0.6366859613298809,2024-02-28,8.3,96.0,1245.0,2,,3.1575959885401788,0,0,0
2024-09-01,4060a065,ito koyama - amortiguadores,0.0,50,8.138442629213687,0.41340387122317723,rojo,6,0.5297365527136509,2022-09-23,11.06,1.0,553.0,1,,0.0,1,0,1
2023-11-01,tto004,ito koyama - direccion,0.0,250,37.34512452150506,0.2795365987703631,rojo,6,0.6119157923127174,2022-08-15,2.97,120.0,742.5,1,,0.0,1,0,1
2024-11-01,cac-19960,sakura filter,5.0,50,5.904595741105407,0.9859127794865472,amarillo,6,0.7507138266703378,2022-09-14,2.73,20.0,136.5,0,,0.8467980229691294,0,0,1
2025-01-01,w-1135/3,mann - brasil,348.0,100,24.00299072265625,1.1517135430430732,verde,4,0.4108096368785257,2024-02-03,10.28,240.0,1028.0,3,,14.498193330197195,0,0,0
2024-12-01,3461-1011skr,sakura - radiadores,13.0,50,0.9782568699927392,7.936046554120935,verde,6,0.6983039683437176,2024-01-18,18.5,100.0,925.0,2,,13.288943220093602,0,0,0
2024-12-01,a-1817,sakura filter,0.0,50,3.1994671314047807,1.5185864170387948,rojo,6,0.6380043060636226,2024-10-22,3.78,54.0,189.0,0,,0.0,1,0,1
2024-12-01,h851405500,valvoline,6.0,50,2.000035524368286,0.0,verde,2,0.399208142654627,2024-03-30,594.88,4.0,29744.0,1,,2.9999467143940395,0,0,0
2024-11-01,eo-18210,sakura filter,42.0,100,14.79270044962565,0.4251638013033356,verde,6,0.8588693744332417,2023-08-04,1.71,100.0,171.0,0,,2.83923818663298,0,0,0
2024-11-01,rni008,ito koyama - direccion,34.0,100,10.96149638575632,0.9828107274210989,verde,6,0.580023196698892,2022-08-15,3.07,210.0,307.0,0,,3.1017662920712694,0,0,0
2024-11-01,cf-700/1,mann - brasil,0.0,50,5.036788945386733,1.0181789663194774,rojo,4,0.4247399820187877,2024-09-12,17.68,24.0,884.0,0,,0.0,1,0,1
2024-12-01,884530,valvoline - usa,1410.0,1500,493.1493787803741,0.2693147870592065,verde,3,0.5237754031718513,2024-08-07,21.46,684.0,32190.0,2,,2.8591742394305006,0,0,0
2024-05-01,rxfc120764b,wagner locked - usa,0.0,1750,873.8229370117188,0.6039806440943665,rojo,2,0.34068549382176183,2023-04-29,2.2,6000.0,3850.0000000000005,2,,0.0,1,0,1
2024-12-01,a-3311,sakura filter,22.0,100,9.05395908363942,1.1370519185584493,verde,6,1.0929092489236538,2024-02-28,2.93,100.0,293.0,0,,2.4298762338957536,0,0,0
2024-12-01,a-28590,sakura filter,210.0,500,76.41717020670573,0.3690786060116077,verde,6,0.9113184166582444,2024-10-22,1.6,200.0,800.0,2,,2.7480734948959435,0,0,0
2025-01-01,wk-962/7,mann - brasil,231.0,100,23.47770342443329,2.197148280268849,verde,4,0.4748091995987206,2024-02-09,6.822002602815628,420.0,682.2002602815628,3,,9.839122499502992,0,0,0
2024-12-01,w-920/7,mann - brasil,143.0,450,110.70625571619587,0.4552911488127049,verde,4,0.43807807172731245,2024-09-24,4.300238717794419,200.0,1935.1074230074885,2,,1.2917065894324136,0,0,0
2024-11-01,scki-117,seco - embragues,34.0,50,10.88608385501577,0.18688317700384552,verde,4,0.43527405898811383,2024-07-18,17.35,50.0,867.5000000000001,0,,3.123253545795027,0,0,0
2024-11-01,a-88230-s,sakura filter,6.0,400,60.2398427327474,0.6266041679877468,amarillo,6,0.8280451672826655,2023-12-04,6.52,189.0,2608.0,2,,0.09960185365388244,0,0,1
2024-11-01,a-7926,sakura filter,0.0,50,3.117075991199233,1.4113666409458563,rojo,6,1.1093926343171818,2024-02-28,18.42,1.0,921.0000000000001,0,,0.0,1,0,1
2024-12-01,t1216,ito koyama - trapecios,27.0,50,2.0039103825887046,1.277692824091581,verde,6,0.6108786642586788,2024-03-19,13.91,40.0,695.5,0,,13.4736564242562,0,0,0
2024-12-01,fc-2205,sakura filter,107.0,350,56.552696595937554,0.3628982338447102,verde,6,0.8001327160557284,2023-10-05,5.2,96.0,1820.0,2,,1.892040635383005,0,0,0
2024-08-01,c-301730,mann - brasil,61.0,100,13.998867988586426,0.30510959979494234,verde,4,0.46795072941698457,2022-02-14,50.41539387226105,100.0,5041.539387226105,0,,4.357495195306835,0,0,0
2025-01-01,eo-17030,sakura filter,1631.0,750,123.51620588421099,1.0725710492937695,verde,6,1.0375326014324255,2024-09-30,0.95,600.0,712.5,3,,13.204744983253164,0,0,0
2024-12-01,t1126,ito koyama - trapecios,35.0,50,2.6644508550616415,0.8723010143908266,verde,6,0.6161187933703447,2024-03-19,13.33,60.0,666.5,0,,13.135915017351778,0,0,0
2024-12-01,dtlt265/70r17,deestone,141.0,50,7.757924399862581,1.281823429510821,verde,6,0.5976710424235843,2023-08-25,56.5,192.0,2825.0,1,,18.17496442766284,0,0,0
2024-12-01,48511-29526,ito koyama - amortiguadores,47.0,250,40.314433481457954,0.5553459680449113,verde,6,0.7259178705846213,2024-08-22,5.2,150.0,1300.0,2,,1.1658355566776593,0,0,0
2025-01-01,bdd079,ishikawa - discos de freno,0.0,50,8.21704341437033,0.6284471840458125,rojo,6,0.8296490948471056,2024-10-30,7.93,50.0,396.5,0,,0.0,1,0,1
2025-01-01,wk-950/14,mann - brasil,312.0,100,16.554515469357412,2.450032002875404,verde,4,0.43870790619896977,2024-09-12,10.34,102.0,1034.0,3,,18.846821616586446,0,0,0
2024-10-01,a-1917,sakura filter,0.0,50,5.1398441963090535,0.9744121045605642,rojo,6,0.725030342903298,2023-09-26,2.41,10.0,120.5,0,,0.0,1,0,1
2022-09-01,skhd-181,seco - embragues,0.0,150,26.163033505904224,0.2564000818553982,rojo,4,0.4058139384163364,2021-08-27,37.48,80.0,5621.999999999999,1,,0.0,1,0,1
2025-01-01,fc-1005,sakura filter,109.0,150,19.12868459726242,0.8699312674689378,verde,6,0.9888665070754675,2024-10-22,3.2,150.0,480.0,3,,5.698248588175238,0,0,0
2024-01-01,zd1423,wagner - pastillas,0.0,50,7.9989999135335275,0.28871122661862036,rojo,3,0.0857212260300729,2018-02-23,20.83,100.0,1041.5,0,,0.0,1,0,1
2024-12-01,sfc-7939-30b,sakura filter,155.0,250,37.34546366622977,0.3118597711006255,verde,6,0.62138533294313,2024-08-28,16.89,102.0,4222.5,2,,4.150437155775929,0,0,0
2024-05-01,a-1410,sakura filter,0.0,50,1.0012067953745525,2.790474903500352,rojo,6,2.2682695410216716,2019-11-15,2.75,135.0,137.5,0,,0.0,1,0,1
2025-01-01,fc-29080,sakura filter,257.0,100,15.03048211609976,1.5669369060205482,verde,6,0.9220072594262319,2024-09-17,2.99,150.0,299.0,2,,17.098586593221576,0,0,0
2024-12-01,bto007,ito koyama - bocamazas,0.0,150,19.596941630045574,0.3573716841894949,rojo,6,0.6218542171577207,2023-04-13,5.9,60.0,885.0,0,,0.0,1,0,1
2025-01-01,bdd061,ishikawa - discos de freno,0.0,50,4.002319971720378,2.622156083248639,rojo,6,0.7390540899041336,2024-10-30,6.58,50.0,329.0,0,,0.0,1,0,1
2024-12-01,ex55307s1000,ito koyama - amortiguadores,89.0,100,11.429392818057032,0.8387032786688761,verde,6,0.6830379389406617,2024-09-19,6.6,100.0,660.0,0,,7.786940340294453,0,0,0
2024-09-01,t1119,ito koyama - trapecios,0.0,100,13.032931000000003,0.49660069657259226,rojo,6,0.7313165958726487,2024-03-19,9.86,80.0,986.0,0,,0.0,1,0,1
2025-01-01,a-58410-s,sakura filter,133.0,200,27.70699913058266,0.5263325402878049,verde,6,0.6619441712983014,2024-08-29,34.99,200.0,6998.0,3,,4.800231139185195,0,0,0
2024-12-01,hc-5816,sakura filter,66.0,300,45.99854024251302,0.3666704259529129,verde,6,0.8937075805267619,2024-09-17,5.33,108.0,1599.0,0,,1.4348281413287354,0,0,0
2024-12-01,c-1121,sakura filter,151.0,1700,277.6154860564064,0.28026640384683027,verde,6,0.6547820429671533,2024-10-22,1.5,300.0,2550.0,2,,0.5439177840724619,0,0,0
2024-04-01,49027r,tkl - taiwan,0.0,150,35.5,1.0350808472879374,rojo,4,0.6260473665745646,2022-10-20,2.5,600.0,375.0,0,,0.0,1,0,1
2024-12-01,icd0001,ishikawa - pastillas de freno,82.0,50,4.5773721192979835,1.0971738645848519,verde,6,0.882411055379066,2024-03-20,4.68,100.0,234.0,0,,17.914208821758645,0,0,0
2024-12-01,afc10100mb-m2,prestone - mexico,100.0,50,16.653681527918078,0.5656619075406233,verde,3,0.450988977609955,2024-06-14,28.83,160.0,1441.5,1,,6.004678294847954,0,0,0
2025-01-01,bdd059,ishikawa - discos de freno,18.0,50,4.00087292989095,2.6712869620877715,verde,6,0.6686978192021401,2024-07-24,6.81,50.0,340.5,0,,4.499018168140275,0,0,0
2025-01-01,a-76530-s,sakura filter,430.0,250,38.00247701009115,0.8726068652029778,verde,6,1.025364278202709,2024-09-30,9.88,52.0,2470.0,3,,11.315051907953741,0,0,0
2024-12-01,eo-3103,sakura filter,21.0,50,2.999940872192383,0.5000098548288343,verde,6,0.8207229831759938,2022-01-18,1.1,50.0,55.00000000000001,0,,7.00013796760368,0,0,0
2025-01-01,icd1611,ishikawa - pastillas de freno,86.0,50,1.4066328495465346,1.864181623707777,verde,6,0.7331862620010339,2024-03-20,9.1,50.0,455.0,0,,61.13891057479881,0,0,0
2025-01-01,54650-24120,ito koyama - amortiguadores,128.0,100,11.272433011489952,1.1203334456357978,verde,6,0.6099159838288661,2024-08-22,9.55,104.0,955.0000000000001,3,,11.35513512207436,0,0,0
