sku,rfm
rov1030025,2
zd1592,1
cp-23210,3
tkl23016,3
af2033,2
sdki-440,2
17916,3
a-1423,2
k010,3
rovatfd100,1
48510-02150,3
a-17860,3
bmi001,3
ts22,0
fc-1001,3
acb-003-cs,2
17057,0
afc10100mb-m2,2
a-1126,3
tks50-33k,2
a-1517,3
enrledh4,2
c-20457,3
48531-36160,3
a-71590-s,2
icd831,2
hu-718/1k,3
t1086,3
ch-005,3
e6210-9km0a,3
dd295/80r22.5,1
48520-12610,3
tb-1374x,2
ct-011u,3
01321,0
srni004,2
54661-3x250,3
ani001,1
t1101,2
ctx-170z,3
48510-bz750,3
21979473,0
48531-35190ref,3
17197,3
87515600,1
dt205/75r16c,1
dt195r15c,2
a-5801,3
dtlt235/75r15,2
p1540cip500usr,2
skki-016,1
skki-031,1
icd0009,3
eo-26330,3
t004,3
t7069,1
re-014,3
re003,2
f-11141,3
m25600100,3
ac-7901,3
rov530100,2
17317,1
b1003,0
c-1514,3
di1540ci5500,3
rni008,0
af6600/1f,1
17094,0
17022,3
eo-31110,3
as-7805-s,3
ctx-174a,2
03515,1
n006,3
ef-10080,3
95026519,0
93369971,1
17048,0
eo-53880,1
55310-c7200,3
wc-7101,3
a-71260-s,3
c-7929,1
a-1939,2
dg001,3
dt205/70r15c,2
op-013,3
h80900100,2
hy-803,2
c-33017,1
17125,0
a-71510-s,3
ahy009,1
tto023,0
ahy008,0
083965005,1
bdd007,2
g20w50100,3
c-10590,0
aat-017,3
eo-18230,2
c-1110,3
w-1170/7,3
t1078,1
t1047,3
wk-1030,3
17945,3
ef-26070,3
rto008,0
to-731b,3
dt155/70r12,3
ss01,2
a-5803m-s,1
ch011,3
hy052,1
a-28600,2
c-271320/3,1
11845,0
17039,2
dtx-116,3
t1108,2
skf-6202-2rsh,0
c-6805,3
icd1676,3
op-002f3,2
17629,3
ehy003,1
mz-001,1
hu-12110x,3
a-1081,3
a-14480,1
sat-018,1
fc-1022,1
dtx-133,1
fc-19070,3
c-1160,3
sk009,3
p20500254t,2
dt235/55r18,3
a-71380-s,3
fs-19130,3
100-sail,1
fc-2905,2
40265960,1
dtx-164a,1
48520-29285,3
a-3312,1
bp4k28910d,1
tt-123,3
rto014,2
h80905500,1
27569,1
675129,1
54660-h9200,3
afc11100/1f,3
bto011,2
mi-014,2
tto001,1
a-28560,3
scgm-570,2
48007,1
pu-707x,0
sm038,0
fc-29080,2
4852087401,2
a-71310-s,3
tkl49011,3
ahy002,1
48042,3
40298960,1
48951,3
k002,2
54650-2w100,3
48076,3
ur005,0
24526127l,3
c-1007,3
bdd053,2
ki-003,2
wk-1149,2
17326,1
a-5654-s,3
c-5706,3
f001,2
ctx-123,3
dt195/55r15,2
a-88230-s,2
65309,0
w-920/7,3
91511960,1
rov1540025,1
hy-640,1
ef-13180,2
mz002,3
17638,3
n011,1
c-1142,3
c-5710,3
48511-29526,3
ky01-34-900a,2
tki003,1
eo-29060,1
