lag,tipo,corr,sku
2,Remolques y SemiR,0.0,012315504
3,Hibridos y Electricos,0.0,012315504
3,Livianos,0.0,012315504
3,Menores,0.0,012315504
3,Pesados,0.0,012315504
3,Remolques y SemiR,0.0,012315504
4,Hibridos y Electricos,0.0,012315504
4,Livianos,0.0,012315504
4,Menores,0.0,012315504
4,Pesados,0.0,012315504
4,Remolques y SemiR,0.0,012315504
5,Hibridos y Electricos,0.0,012315504
5,Livianos,0.0,012315504
5,Menores,0.0,012315504
5,Pesados,0.0,012315504
5,Remolques y SemiR,0.0,012315504
6,Hibridos y Electricos,0.0,012315504
6,Livianos,0.0,012315504
6,Menores,0.0,012315504
6,Pesados,0.0,012315504
6,Remolques y SemiR,0.0,012315504
7,Hibridos y Electricos,0.0,012315504
7,Livianos,0.0,012315504
7,Menores,0.0,012315504
7,Pesados,0.0,012315504
7,Remolques y SemiR,0.0,012315504
0,Hibridos y Electricos,0.0,012316004
0,Livianos,0.0,012316004
0,Menores,0.0,012316004
0,Pesados,0.0,012316004
0,Remolques y SemiR,0.0,012316004
1,Hibridos y Electricos,0.0,012316004
1,Livianos,0.0,012316004
1,Menores,0.0,012316004
1,Pesados,0.0,012316004
1,Remolques y SemiR,0.0,012316004
2,Hibridos y Electricos,0.0,012316004
2,Livianos,0.0,012316004
2,Menores,0.0,012316004
2,Pesados,0.0,012316004
2,Remolques y SemiR,0.0,012316004
3,Hibridos y Electricos,0.0,012316004
3,Livianos,0.0,012316004
3,Menores,0.0,012316004
3,Pesados,0.0,012316004
3,Remolques y SemiR,0.0,012316004
4,Hibridos y Electricos,0.0,012316004
4,Livianos,0.0,012316004
4,Menores,0.0,012316004
4,Pesados,0.0,012316004
4,Remolques y SemiR,0.0,012316004
5,Hibridos y Electricos,0.0,012316004
5,Livianos,0.0,012316004
5,Menores,0.0,012316004
5,Pesados,0.0,012316004
5,Remolques y SemiR,0.0,012316004
6,Hibridos y Electricos,0.0,012316004
6,Livianos,0.0,012316004
6,Menores,0.0,012316004
6,Pesados,0.0,012316004
6,Remolques y SemiR,0.0,012316004
7,Hibridos y Electricos,0.0,012316004
7,Livianos,0.0,012316004
7,Menores,0.0,012316004
7,Pesados,0.0,012316004
7,Remolques y SemiR,0.0,012316004
0,Hibridos y Electricos,0.0,012502507
0,Livianos,0.0,012502507
0,Menores,0.0,012502507
0,Pesados,0.0,012502507
0,Remolques y SemiR,0.0,012502507
1,Hibridos y Electricos,0.0,012502507
1,Livianos,0.0,012502507
1,Menores,0.0,012502507
1,Pesados,0.0,012502507
1,Remolques y SemiR,0.0,012502507
2,Hibridos y Electricos,0.0,012502507
2,Livianos,0.0,012502507
2,Menores,0.0,012502507
2,Pesados,0.0,012502507
2,Remolques y SemiR,0.0,012502507
3,Hibridos y Electricos,0.0,012502507
3,Livianos,0.0,012502507
3,Menores,0.0,012502507
3,Pesados,0.0,012502507
3,Remolques y SemiR,0.0,012502507
4,Hibridos y Electricos,0.0,012502507
4,Livianos,0.0,012502507
4,Menores,0.0,012502507
4,Pesados,0.0,012502507
4,Remolques y SemiR,0.0,012502507
5,Hibridos y Electricos,0.0,012502507
5,Livianos,0.0,012502507
