year,month,Hibridos y Electricos,Livianos,Menores,Pesados,Remolques y SemiR,Neumáticos,Lubricantes,Partes de Motor,Filtros,Otros consumibles,Partes eléctricas,Sistema de transmisión,Partes de carrocería,Sistema de frenos,Baterías,Sistema de suspensión,Accesorios,Ruedas y sus partes,Productos de caucho,Sistema de dirección,Sistema de enfriamiento,Ejes y diferencial,Sistema de escape
2021,5,81.0,12525.0,37014.0,1312.0,503.0,36729985.11799997,33114282.914000005,26527214.385000017,15080502.26600001,9528288.443000004,8142643.963999996,7687342.198000004,6417499.706999998,3990637.6249999953,3679054.9590000026,3361432.2779999976,2242018.397,1843593.0959999994,1979334.195999999,1455642.7590000005,854871.524,1058633.6360000009,568906.5859999994
2021,6,104.0,12342.0,39279.0,1515.0,530.0,41612628.336000025,26969666.916999996,25200719.845999997,15859399.53900002,8884795.13400001,8299215.253999994,8974798.524,4889456.293999998,3313790.1610000017,3947521.602000007,3432041.821999997,2423016.0230000005,1237804.1320000004,2058979.8379999972,1346263.5110000004,1020819.5929999979,755316.9170000005,545141.5159999988
2021,7,94.0,10734.0,33881.0,1192.0,551.0,44144774.72999997,35106260.553000025,27458875.739,13302331.712000012,9579170.093000002,7356087.764000001,6637769.723000003,5581993.776000001,3623867.0100000063,4567457.307999992,3814651.1980000045,2360094.1210000007,2364280.664999999,2655358.8200000017,2173502.8370000008,731473.5139999997,1115632.2940000016,533701.3910000003
2021,8,142.0,13455.0,37248.0,1424.0,474.0,42472475.80199999,30897323.501000013,24333676.23600001,13500573.79300002,9269658.075000001,7151715.986999993,7476047.310999998,5352126.766999995,3262214.6439999933,3176504.158999996,3413177.3379999944,2111319.8739999994,2149787.931999999,2863798.8980000005,1950956.4880000006,715362.1960000001,1033916.1549999997,458196.17300000024
2021,9,143.0,15186.0,37773.0,1590.0,451.0,39883134.880000025,32253448.426000018,25216627.55799999,14924387.999000015,7699162.032999998,6302883.983000004,6510054.028,5256789.224000001,3542351.8989999983,3849766.5850000083,2990004.6100000013,2655949.7229999998,2108245.2640000023,1952148.5480000002,1500437.4430000004,907746.4910000009,1382814.5619999978,427571.5349999998
2021,10,105.0,14931.0,34342.0,1719.0,452.0,38558394.641000025,35087931.427000016,27137727.720000006,14755499.610999998,11119470.465000024,7661574.991999978,5772941.512999997,6056558.221999998,4298680.037000005,4789462.932000007,3752596.1239999942,2400292.6050000004,2235174.677000004,2248777.2209999985,1451923.6859999995,694463.7289999994,1021323.1110000003,724152.4349999998
2021,11,179.0,15879.0,33384.0,1766.0,447.0,42777345.938,20550491.542000018,23157801.789999984,15547863.366999995,9937835.389999995,7899155.724000002,6652303.454999998,5828306.336999981,4179210.740000001,2661223.119999999,3430796.0929999957,2018907.9919999994,1655888.5880000007,2118941.8710000017,1469368.7240000023,715285.8219999999,1057866.7880000004,693427.6469999994
2021,12,221.0,14636.0,31793.0,1534.0,390.0,63170077.188999996,34240071.264,28525853.403999995,18041986.711999964,11921019.503999995,8058166.922999993,9007986.685999995,7667672.147000001,4421376.1439999975,3715682.1330000004,3720099.4229999944,3456935.5820000004,2568817.8219999964,2373786.575,1686185.4879999994,967775.8199999997,747472.3709999986,537862.363
2022,1,186.0,14245.0,31210.0,1413.0,502.0,53820157.41199997,24622534.11200003,24434978.922999993,12063889.968000006,10083015.84399999,7060012.370999998,6337611.729999996,6958164.51599999,3899653.4289999977,2327233.1740000066,3533308.6580000003,2697335.5590000004,2525527.5540000047,1903414.2540000016,2239600.460000001,1315930.9969999997,1028962.4539999991,320329.4859999999
2022,2,165.0,12401.0,30868.0,1446.0,493.0,43704981.03100004,32807241.028000016,25516711.728999976,13102781.505000006,9748418.496999996,7614677.350000005,5842352.442999994,6222835.814000002,3280019.7019999996,3895709.6529999957,3372378.2489999994,2207862.9189999998,1617111.185,1696392.9790000005,1636875.4209999996,811022.2819999999,989542.8310000006,483842.3439999999
2022,3,212.0,14345.0,36986.0,1837.0,602.0,41424314.16500001,39041222.700999975,23819512.82400001,12403883.178999996,10834409.741000002,7275415.468,7469696.497999992,7290736.285,4231043.848999998,4663029.711000006,4070307.1619999968,3269842.2590000015,1363841.4689999972,1861788.2679999992,1905800.554000001,811418.6960000006,741124.7989999998,428350.08399999945
2022,4,181.0,11913.0,29183.0,1343.0,417.0,34564263.15599999,52919217.63400005,24131843.77499999,12450492.514000034,10187726.409,6802591.580000006,7473519.589999996,6979796.378999985,3542957.5650000027,3130533.1669999957,3784988.574999997,2551798.858,1397493.9929999984,2262478.3399999985,1350525.0139999993,1464055.145000004,896886.8329999998,427966.698
